"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"ORMEN LANGE";"2016";"0.000";"17.254";"0.000";"1.056";"18.309";"0.000";"2762452"
"ORMEN LANGE";"2017";"0.000";"16.236";"0.000";"0.920";"17.156";"0.000";"2762452"
"ORMEN LANGE";"2018";"0.000";"15.675";"0.000";"0.832";"16.506";"0.000";"2762452"
"ORMEN LANGE";"2019";"0.000";"12.632";"0.000";"0.661";"13.293";"0.000";"2762452"
"ORMEN LANGE";"2020";"0.000";"11.911";"0.000";"0.597";"12.508";"0.000";"2762452"
"ORMEN LANGE";"2021";"0.000";"11.205";"0.000";"0.534";"11.738";"0.000";"2762452"
"ORMEN LANGE";"2022";"0.000";"9.560";"0.000";"0.441";"10.000";"0.001";"2762452"
"ORMEN LANGE";"2023";"0.000";"5.295";"0.000";"0.236";"5.532";"0.000";"2762452"
"OSEBERG";"1986";"0.291";"0.000";"0.000";"0.000";"0.291";"0.000";"43625"
"OSEBERG";"1987";"0.808";"0.000";"0.000";"0.000";"0.808";"0.000";"43625"
"OSEBERG";"1988";"1.126";"0.000";"0.000";"0.000";"1.126";"0.000";"43625"
"OSEBERG";"1989";"13.514";"0.000";"0.000";"0.000";"13.514";"0.000";"43625"
"OSEBERG";"1990";"17.309";"0.000";"0.000";"0.000";"17.309";"0.000";"43625"
"OSEBERG";"1991";"20.916";"0.000";"0.000";"0.000";"20.916";"0.000";"43625"
"OSEBERG";"1992";"26.104";"0.000";"0.000";"0.000";"26.104";"0.000";"43625"
"OSEBERG";"1993";"28.463";"0.000";"0.000";"0.000";"28.463";"0.000";"43625"
"OSEBERG";"1994";"29.212";"0.000";"0.000";"0.000";"29.212";"0.000";"43625"
"OSEBERG";"1995";"28.985";"0.000";"0.000";"0.000";"28.985";"0.000";"43625"
"OSEBERG";"1996";"29.126";"0.000";"0.000";"0.000";"29.126";"0.000";"43625"
"OSEBERG";"1997";"27.268";"0.000";"0.000";"0.000";"27.268";"0.000";"43625"
"OSEBERG";"1998";"24.102";"0.000";"0.000";"0.000";"24.102";"0.000";"43625"
"OSEBERG";"1999";"19.435";"0.000";"0.000";"0.000";"19.435";"0.000";"43625"
"OSEBERG";"2000";"15.411";"1.403";"0.630";"0.000";"17.444";"3.047";"43625"
"OSEBERG";"2001";"10.970";"3.797";"0.955";"0.000";"15.722";"2.155";"43625"
"OSEBERG";"2002";"10.113";"2.798";"1.019";"0.000";"13.929";"1.742";"43625"
"OSEBERG";"2003";"9.175";"1.239";"1.025";"0.000";"11.439";"2.305";"43625"
"OSEBERG";"2004";"8.714";"2.423";"1.184";"0.000";"12.321";"2.537";"43625"
"OSEBERG";"2005";"7.467";"2.821";"1.165";"0.000";"11.452";"2.982";"43625"
"OSEBERG";"2006";"6.262";"3.370";"1.255";"0.000";"10.887";"2.802";"43625"
"OSEBERG";"2007";"5.164";"1.548";"1.303";"0.000";"8.014";"2.415";"43625"
"OSEBERG";"2008";"5.293";"3.818";"1.179";"0.000";"10.290";"2.395";"43625"
"OSEBERG";"2009";"5.125";"2.380";"1.075";"0.000";"8.580";"2.715";"43625"
"OSEBERG";"2010";"4.309";"3.103";"0.959";"0.000";"8.371";"2.915";"43625"
"OSEBERG";"2011";"3.914";"1.530";"1.199";"0.000";"6.643";"2.118";"43625"
"OSEBERG";"2012";"3.311";"4.569";"1.176";"0.000";"9.056";"1.783";"43625"
"OSEBERG";"2013";"2.999";"3.690";"1.198";"0.000";"7.886";"1.760";"43625"
"OSEBERG";"2014";"2.732";"1.950";"1.098";"0.000";"5.780";"2.055";"43625"
"OSEBERG";"2015";"3.036";"2.695";"1.120";"0.000";"6.851";"2.947";"43625"
"OSEBERG";"2016";"3.490";"1.418";"1.162";"0.000";"6.070";"3.068";"43625"
"OSEBERG";"2017";"3.490";"3.463";"1.178";"0.000";"8.130";"3.585";"43625"
"OSEBERG";"2018";"2.568";"2.701";"1.055";"0.000";"6.324";"2.921";"43625"
"OSEBERG";"2019";"3.321";"3.120";"1.077";"0.000";"7.518";"2.432";"43625"
"OSEBERG";"2020";"3.707";"3.469";"0.959";"0.000";"8.135";"2.382";"43625"
"OSEBERG";"2021";"3.310";"8.158";"0.958";"0.000";"12.427";"3.241";"43625"
"OSEBERG";"2022";"2.644";"6.524";"0.756";"0.000";"9.925";"2.861";"43625"
"OSEBERG";"2023";"1.714";"4.739";"0.645";"0.000";"7.098";"2.482";"43625"
"OSEBERG SØR";"2000";"1.432";"0.000";"0.000";"0.000";"1.432";"0.004";"43645"
"OSEBERG SØR";"2001";"4.456";"0.000";"0.000";"0.000";"4.456";"0.047";"43645"
"OSEBERG SØR";"2002";"4.360";"0.197";"0.000";"0.000";"4.557";"0.174";"43645"
"OSEBERG SØR";"2003";"5.060";"0.895";"0.000";"0.000";"5.955";"0.327";"43645"
"OSEBERG SØR";"2004";"4.582";"0.954";"0.000";"0.000";"5.536";"1.003";"43645"
"OSEBERG SØR";"2005";"4.182";"0.713";"0.000";"0.000";"4.895";"1.374";"43645"
